parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1757,0.043,0.166,60,0.00056,953.0,1069.2,72.96231904209186,0.78572748,1.0,9.288990825688073,22.614678899082573
2,1757,0.043,0.166,190,0.00056,937.0,1091.8,70.14568173926793,0.77169576,1.0,7.454128440366972,25.20642201834862
3,1757,0.043,0.166,155,0.00056,968.0,1084.32,67.64288580479104,0.7982846,1.0,11.009174311926607,24.348623853211002
4,1757,0.043,0.166,234,0.00056,900.0,1069.12,89.53878116957665,0.756689,1.0,3.211009174311927,22.60550458715595
5,1757,0.043,0.166,227,0.00056,954.0,1060.08,87.83977838466276,0.74783712,1.0,9.403669724770642,21.568807339449535
6,1757,0.043,0.166,118,0.00056,952.0,1100.16,70.50631177419508,0.77405692,1.0,9.174311926605505,26.16513761467891
7,1757,0.043,0.166,197,0.00056,901.0,1101.28,87.47500595408192,0.75137032,1.0,3.325688073394496,26.293577981651374
8,1757,0.043,0.166,55,0.00056,973.0,1105.88,75.87122862675504,0.719423,1.0,11.582568807339449,26.821100917431206
9,1757,0.043,0.166,217,0.00056,950.0,1072.24,84.46956059236172,0.81833512,1.0,8.944954128440367,22.96330275229358
10,1757,0.043,0.166,37,0.00056,1004.0,1084.2,65.89385403814228,0.7552756,1.0,15.137614678899084,24.334862385321106
11,1757,0.043,0.166,44,0.00056,916.0,1078.76,89.86577027248288,0.78272356,1.0,5.045871559633028,23.711009174311926
12,1757,0.043,0.166,256,0.00056,955.0,1080.52,78.72955819343414,0.79651616,1.0,9.51834862385321,23.912844036697244
13,1757,0.043,0.166,185,0.00056,923.0,1074.36,74.9915995295473,0.77588704,1.0,5.848623853211009,23.20642201834861
14,1757,0.043,0.166,184,0.00056,925.0,1102.68,69.42845238085032,0.77180448,1.0,6.077981651376147,26.45412844036698
15,1757,0.043,0.166,50,0.00056,884.0,1052.6,96.28257024681743,0.79276132,1.0,1.3761467889908259,20.71100917431192
16,1757,0.043,0.166,187,0.00056,924.0,1068.68,74.97761888279284,0.73969908,1.0,5.963302752293578,22.55504587155964
17,1757,0.043,0.166,214,0.00056,893.0,1067.04,95.65235665331687,0.764291,1.0,2.408256880733945,22.366972477064216
18,1757,0.043,0.166,127,0.00056,950.0,1056.96,69.31959799844967,0.79216052,1.0,8.944954128440367,21.211009174311933
19,1757,0.043,0.166,137,0.00056,931.0,1070.0,59.973605305445275,0.86117456,1.0,6.76605504587156,22.706422018348622
20,1757,0.043,0.166,76,0.00056,1001.0,1090.88,62.10161028508037,0.74855628,1.0,14.793577981651376,25.10091743119267
