time,ox_avg,ox_min,ox_max,pox_avg,pox_min,pox_max
0.1415,38152.54,36548,38970,38150.02,36632,38988
0.7337,35736.82,35041.29,36176.39,38148.28,,38647.83
1.326,32835.58,31494.3,34182.37,37511.24,36541.4,37981.46
1.9182,31339.7,30328.44,32991.31,36910.89,35805.08,37531.45
2.5105,29425.35,27967.93,31292.59,36341.09,35112.23,37314.2
3.1027,28207.91,26710.81,29438.1,35828.01,34262.91,36870.71
3.6949,26870.74,25520.97,28461.77,,,36416.92
4.2872,25934.84,24618.1,27459.3,35381.73,,36114.84
4.8794,24750.04,23321.29,26651,34987.13,33963.82,36079.29
5.4717,23916.4,22628.97,26568.48,34617.47,33487.24,35857.96
6.0639,23081.75,20886.11,25216.9,34210.08,32869.05,35408.33
6.6561,22228.88,20780.85,25134.11,33990.24,32798,34975.9
7.2484,21519.39,19978.62,24306.02,33681.29,32234.97,
7.8406,20722.93,19197.26,22554.04,33564.92,,
8.4329,20048.54,19104.04,22056.97,33260.54,32038.31,
9.0251,19557.26,18236.85,21767.92,32957.35,31655.76,
9.6174,18914.18,17339.82,20721.66,32704.92,31431.85,
10.2096,18310.79,16722.61,19951.2,32442.7,30667.35,
10.8018,17918.8,16656.67,19849,32358.52,30492.91,33691.42
11.3941,17461.83,16299.41,19346.69,32059.3,30205.24,33465.23
11.9863,17168.63,15946.45,18986.46,31900.93,30157.01,
12.5786,16754.56,15444.73,18088.93,31638.31,29948.8,
13.1708,16702.22,15098.69,,31298.86,29573.3,
13.763,16227.96,14831,18045.35,31059.05,29367.08,33078.96
14.3553,,14544.16,17886.45,30787.21,28830.7,32698.4
14.9475,15791.29,14435.94,16664.69,30664.68,28705.92,32667.31
15.5398,,,,30366.38,28460.8,32660.64
16.132,15310.69,,16210,30157.06,,32459.49
16.7242,15147.84,14390.89,15900.66,29858.72,28158.48,32056.22
17.3165,,14004.36,,29586.5,27656.5,
17.9087,,,15663.95,29344.81,27323.76,
18.501,,,,29066.36,26949.52,
19.0932,,,,28850.73,26607.13,31524.4
19.6854,14758.95,,14862.38,28561.24,26410.89,31292.94
20.2777,,,,28410.77,,30660.36
20.8699,,,,28125.02,26265.43,
21.4622,,,,27898.78,25985.93,
22.0544,14180,,14180,27640.13,25697.21,
22.6466,,,,27373.32,25329.76,30119.02
23.2389,,,,27169.81,25187.94,29760.41
23.8311,,,,26941.97,24983.03,29326.08
24.4234,,,,26839,24865.55,
25.0156,,,,26574.9,24500.49,
25.6079,14180,14004.36,14180,26363.93,24452.68,28980.26
