time,ox_avg,ox_min,ox_max,pox_avg,pox_min,pox_max
0.0333,2651.85,2417,2775,2647.82,2398,2771
0.0771,2432.45,2209.98,2607.08,,,2730.39
0.1209,2270.04,2107.41,2527.67,2542.5,,2681.26
0.1647,2141.6,1942.79,2488.59,2495.7,2316.13,2606.95
0.2086,2032.19,1880.64,2433.88,2485.86,,2552.16
0.2524,1939.74,1757.88,2249.55,2409.99,2257.33,2510.43
0.2962,1859.38,1695.42,2107.42,2379.85,2204.36,2481.52
0.34,1782.96,1613.58,2041.68,2323.47,2141.17,
0.3838,1718.79,1544.4,1958.96,2294.33,2096.79,2478.16
0.4276,1655.27,1463.67,1896.15,,,2414.03
0.4715,1594.14,1407.72,1873.21,2248.12,2090.54,
0.5153,1545.1,1371.05,1804.47,2228.64,2056.2,2408.7
0.5591,1493.8,1326.32,1724,2197.8,2040.26,2342.3
0.6029,1449.64,1271.97,1719.8,2169.7,1980.93,2322.52
0.6467,1404.01,1231.93,1635.83,2165.74,1979.3,
0.6905,1362.54,1200.77,1564.58,2125.72,1934.89,2301.43
0.7343,1319.94,1140.92,1544.51,2112.5,,2270.91
0.7782,1281.2,1102.36,1527.34,2094.43,1910.84,
0.822,1242.92,1056.15,1466.25,2059.28,1873.47,
0.8658,1211.7,1024.55,,2048.01,1858.88,2245.22
0.9096,1179.05,988.18,1413.18,2015.23,1800.49,2181.92
0.9534,1145.91,963.15,1380.2,1993.9,1797.6,
0.9972,1123.63,953.69,1353.62,1980.82,1763.23,
1.041,1096.81,938.8,1291.9,1944.16,1741.17,2164
1.0849,1075.53,923.38,,1937.99,1651.59,
1.1287,1056.14,900.76,1248.28,1901.5,1650.57,
1.1725,1042.83,890.41,,1872.11,1633.48,2110.62
1.2163,1026.95,885.71,1233.33,,,
1.2601,1015.54,883.76,1177.43,1828.94,1612.06,
1.3039,1003.2,873.42,1145.2,1818.7,1574.38,2059.39
1.3478,994.06,,1141.55,1780.86,1541.93,
1.3916,981.9,871.3,1129.9,1765.41,,
1.4354,974.62,,1102.79,1748.9,1496.26,1990.88
1.4792,973.47,,,1717.39,,
1.523,,,,1712.79,,
1.5668,960.27,865.18,1079.76,1676.24,1418.79,
1.6106,949.41,844.05,1027.28,1664.68,,1955.73
1.6545,940.75,,993.94,1640.79,1401.24,1941.78
1.6983,,,,1623,1350.88,
1.7421,936.68,,983.42,1611.97,,
1.7859,,,,1592.57,1336.41,
1.8297,,,,1571.81,,1885.57
1.8735,911,,911,1564.64,1304.53,
1.9174,,,,1544.26,,
1.9612,,,,1532.84,,
2.005,911,844.05,911,1521.54,1278.61,1803.14
