parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1500,0.046,0.27,67,0.0007,1006.0,1110.2,64.9955126656192,1.85864464,1.0,15.36697247706422,27.3165137614679
2,2002,0.046,0.27,67,0.0007,886.0,1039.92,73.70997218830027,3.21458896,1.0,1.6055045871559634,19.25688073394496
3,1843,0.046,0.27,67,0.0007,842.0,1035.16,75.19290746695019,3.51546292,1.0,-3.4403669724770642,18.711009174311936
4,2495,0.046,0.27,67,0.0007,841.0,1010.0,87.74442052537206,5.271134,1.0,-3.555045871559633,15.825688073394495
5,637,0.046,0.27,67,0.0007,1184.0,1335.84,91.98626709098122,1.05214148,1.0,35.77981651376147,53.192660550458704
6,299,0.046,0.27,67,0.0007,1373.0,1557.92,98.062021190673,0.49213316,1.0,57.45412844036697,78.6605504587156
7,1655,0.046,0.27,67,0.0007,939.0,1088.48,103.46058830942985,3.11028684,1.0,7.68348623853211,24.8256880733945
8,1256,0.046,0.27,67,0.0007,953.0,1097.96,71.63185976458612,2.58977956,1.0,9.288990825688073,25.91284403669725
9,2761,0.046,0.27,67,0.0007,818.0,977.32,96.24435914206435,6.46132008,1.0,-6.192660550458716,12.077981651376152
10,1313,0.046,0.27,67,0.0007,978.0,1099.52,72.1526853277132,2.801975,1.0,12.155963302752294,26.091743119266052
11,1794,0.046,0.27,67,0.0007,875.0,1026.52,92.2013738147829,4.27937404,1.0,0.34403669724770647,17.72018348623853
12,2018,0.046,0.27,67,0.0007,893.0,1029.24,72.17240931731922,4.5684214,1.0,2.408256880733945,18.03211009174312
13,1704,0.046,0.27,67,0.0007,900.0,1041.44,73.33148482518725,3.66584812,1.0,3.211009174311927,19.431192660550465
14,1041,0.046,0.27,67,0.0007,1023.0,1147.72,78.7144205339784,2.0782222,1.0,17.31651376146789,31.619266055045873
15,2239,0.046,0.27,67,0.0007,851.0,1005.04,95.49497368971835,4.92596892,1.0,-2.408256880733945,15.25688073394495
16,764,0.046,0.27,67,0.0007,1120.0,1251.0,78.07314946040455,1.32294476,1.0,28.440366972477065,43.46330275229357
17,1372,0.046,0.27,67,0.0007,1000.0,1117.44,88.96351312008011,2.68973804,1.0,14.678899082568808,28.146788990825694
18,996,0.046,0.27,67,0.0007,988.0,1162.0,87.91994464663104,1.86720452,1.0,13.302752293577983,33.25688073394495
19,128,0.046,0.27,67,0.0007,1616.0,1958.2,158.56097670402175,0.22837388,1.0,85.3211009174312,124.56422018348626
20,1854,0.046,0.27,67,0.0007,915.0,1045.56,71.43124899743343,3.97450236,1.0,4.931192660550459,19.903669724770637
