gen_pop_ratio,best_cost,average_cost
0.016,24252,26218.48
0.0304461942257218,15452,18346.8
0.0385756676557864,18668,21362.24
0.041,17232,19792.72
0.0416107382550336,16732,19687.6
0.0417508417508418,16792,19693.52
0.0423402617397998,17520,22345.6
0.0511013215859031,18090,19567.44
0.0518358531317495,23848,25315.92
0.0597122302158273,19856,21314.64
0.0600169061707523,17384,19818.32
0.0631500742942051,20714,23145.2
0.0655412115193644,24536,28300.48
0.0675799086757991,19912,23705.2
0.076,20296,23056.16
0.0871143375680581,21576,23342.32
0.0942408376963351,21964,24312.24
0.0944254835039818,17180,21445.76
0.118483412322275,24328,27768.88
0.126543209876543,27796,30385.04
