gen_pop_ratio,best_cost,average_cost
0.0107112253641817,1036,1176.24
0.0126666666666667,881,1017.28
0.0126984126984127,898,1017.68
0.018942731277533,923,1140.48
0.0203333333333333,861,1206.68
0.0211027910142954,825,1070.64
0.0256092523750516,928,1063.48
0.0256666666666667,853,996.56
0.0277324632952692,1034,1160.84
0.0416666666666667,841,1173.8
0.0443991853360489,833,1110.16
0.0473328324567994,1025,1185.72
0.0494487136652188,748,1189.84
0.0506512301013025,987,1171.32
0.0625390869293308,986,1146.64
0.063,795,1162.4
0.0719769673704415,925,1026.28
0.0777777777777778,934,1030.32
0.0969993021632938,901,1069.28
0.0998322147651007,1027,1192.64
