parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1000,0.022,0.204,150,0.000101,19746.0,21855.76,1328.880270503454,2.6796364,1.0,455.9121621621622,515.3085585585585
2,1000,0.022,0.204,144,0.000101,19076.0,21922.16,1154.3465568594786,2.59052504,1.0,437.0495495495495,517.177927927928
3,1000,0.022,0.204,158,0.000101,20168.0,22186.88,1421.181794610856,2.48844188,1.0,467.7927927927928,524.6306306306307
4,1000,0.022,0.204,48,0.000101,20420.0,22200.96,1019.7578339978566,2.50078724,1.0,474.88738738738743,525.027027027027
5,1000,0.022,0.204,279,0.000101,19340.0,22092.08,949.130387951694,2.557749,1.0,444.481981981982,521.9617117117117
6,1000,0.022,0.204,246,0.000101,20220.0,22407.6,1309.6267916216946,2.5722776,1.0,469.2567567567568,530.8445945945946
7,1000,0.022,0.204,31,0.000101,20340.0,22226.88,888.8072681971047,2.30181936,1.0,472.63513513513516,525.7567567567568
8,1000,0.022,0.204,295,0.000101,20396.0,22187.36,1172.0184469538012,2.59235232,1.0,474.2117117117117,524.6441441441442
9,1000,0.022,0.204,132,0.000101,19962.0,21812.24,1106.9539767608528,2.76998888,1.0,461.9932432432432,514.0833333333334
10,1000,0.022,0.204,50,0.000101,20132.0,22219.2,992.179083297634,2.55087524,1.0,466.77927927927925,525.5405405405406
11,1000,0.022,0.204,64,0.000101,20392.0,22369.2,1045.791406862127,2.494491,1.0,474.0990990990991,529.7635135135135
12,1000,0.022,0.204,54,0.000101,20068.0,21825.68,997.5158611938626,2.589469,1.0,464.97747747747746,514.4617117117117
13,1000,0.022,0.204,68,0.000101,20672.0,22241.84,1275.6927425259319,2.58509096,1.0,481.981981981982,526.177927927928
14,1000,0.022,0.204,116,0.000101,19032.0,22131.36,1419.7913837368267,2.53617908,1.0,435.8108108108108,523.0675675675676
15,1000,0.022,0.204,40,0.000101,19588.0,21584.96,1111.7567359813927,2.61099328,1.0,451.463963963964,507.68468468468467
16,1000,0.022,0.204,205,0.000101,19340.0,22385.44,1247.2832503752572,2.5819652,1.0,444.481981981982,530.2207207207207
17,1000,0.022,0.204,160,0.000101,19436.0,22633.68,1345.5048222383548,2.54946332,1.0,447.1846846846847,537.2094594594595
18,1000,0.022,0.204,186,0.000101,20616.0,22557.76,1212.5529981544448,2.44472028,1.0,480.4054054054054,535.072072072072
19,1000,0.022,0.204,153,0.000101,20660.0,22007.28,789.2073829693519,2.61789576,1.0,481.6441441441442,519.5743243243243
20,1000,0.022,0.204,115,0.000101,19940.0,22301.04,1421.449391759458,2.5801030799999998,1.0,461.37387387387383,527.8445945945946
