parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1757,0.043,0.166,60,0.00056,258786.0,336980.4,44425.33975578202,1.92624716,1.0,111.29872462726782,175.14443881966787
2,1757,0.043,0.166,175,0.00056,278576.0,333165.4,36014.62580558997,1.91677488,1.0,127.4572562339762,172.0294919738067
3,1757,0.043,0.166,130,0.00056,302100.0,337200.0,18131.75411858066,1.89332984,1.0,146.66459820043437,175.32374218201414
4,1757,0.043,0.166,31,0.00056,336190.0,370948.0,21209.275178169886,1.42974504,1.0,174.49907735519378,202.87897839541452
5,1757,0.043,0.166,69,0.00056,298040.0,343558.0,30133.80727687758,1.86618728,1.0,143.34960889658214,180.5150480918399
6,1757,0.043,0.166,97,0.00056,286759.0,354553.2,34496.051216045,1.73580464,1.0,134.1386743308784,189.49262700654833
7,1757,0.043,0.166,213,0.00056,273838.0,337971.12,29741.462655020852,1.8452102,1.0,123.58868004637719,175.95336152979408
8,1757,0.043,0.166,25,0.00056,383151.0,411410.68,15993.886974716308,1.2461088,1.0,212.84272580302758,235.91674967748256
9,1757,0.043,0.166,208,0.00056,295413.0,346084.48,33756.56496411723,1.9180454,1.0,141.20466384702058,182.57791857863708
10,1757,0.043,0.166,132,0.00056,271125.0,337442.8,38801.85242463732,1.94306752,1.0,121.37351601156163,175.52198834038245
11,1757,0.043,0.166,147,0.00056,275835.0,331659.8,34563.17922298237,1.9783228,1.0,125.21923020396166,170.80016983196433
12,1757,0.043,0.166,44,0.00056,290988.0,345268.24,24195.603252932822,1.92497852,1.0,137.59165210575307,181.91145875859365
13,1757,0.043,0.166,93,0.00056,275104.0,342480.08,39362.06032348917,1.97722388,1.0,124.62236882930256,179.63492659666542
14,1757,0.043,0.166,74,0.00056,284420.0,343186.72,30807.333233501402,1.90935412,1.0,132.22888123193493,180.2118980355014
15,1757,0.043,0.166,219,0.00056,280873.0,346802.84,39013.52277168349,1.87831964,1.0,129.33275634012116,183.16445939546355
16,1757,0.043,0.166,261,0.00056,272601.0,342074.24,31337.12467037566,2.02823052,1.0,122.57866975847935,179.30355830625274
17,1757,0.043,0.166,68,0.00056,244392.0,336588.6,33954.17470159843,1.97480648,1.0,99.54602609533451,174.8245341868478
18,1757,0.043,0.166,28,0.00056,358782.0,387245.76,20921.68415838776,1.35410512,1.0,192.9454414814573,216.1860966409197
19,1757,0.043,0.166,93,0.00056,290542.0,346554.04,31517.24837487139,1.83795724,1.0,137.22749318222643,182.96131423812398
20,1757,0.043,0.166,189,0.00056,273693.0,360018.92,44234.70120271339,1.77887408,1.0,123.47028757123961,193.95538644936883
