parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,314832.0,350585.52,26235.32262224601,2.22847928,1.0,157.06027401734246,186.25301696686645
2,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,285296.0,345933.76,37772.062597330674,2.35415696,1.0,132.94413508173164,182.4548557244803
3,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,302362.0,339443.48,35285.11916766991,2.97815532,1.0,146.87852115551055,177.15554321733592
4,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,289844.0,341531.64,33762.340047603335,2.3948604000000002,1.0,136.657576301909,178.86052549928965
5,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,279287.0,343064.96,33487.68657840272,2.51021312,1.0,128.0377876120646,180.112481016379
6,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,285754.0,342341.84,27791.424420253574,2.41083956,1.0,133.3180920032007,179.52205366036875
7,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,280045.0,339009.24,28855.3448201542,2.47052912,1.0,128.65669448209417,176.80098633179287
8,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,276792.0,343627.16,26067.64385638513,2.426744,1.0,126.00062053986969,180.57151721998136
9,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,294159.0,340511.84,29827.850107855018,2.37697548,1.0,140.18077306203767,178.02785897414964
10,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,311218.0,347575.56,28550.012783242906,2.44204572,1.0,154.10944363701685,183.7953851429691
11,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,271494.0,345857.32,33233.09601476616,2.39627028,1.0,121.67480444829107,182.39244247758708
12,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,259329.0,347728.52,39509.09557949916,2.19172616,1.0,111.74208403416235,183.92027695674184
13,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,272357.0,335429.0,35717.16108539423,2.43409372,1.0,122.3794438003168,173.8777209856786
14,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,295235.0,351786.64,36081.48634327583,2.24747328,1.0,141.05932687754134,187.23373124091646
15,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,288051.0,340640.16,32256.213682637954,2.48303664,1.0,135.19359210934564,178.13263223214722
16,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,279343.0,339152.92,32877.0346428932,2.44133772,1.0,128.08351160246255,176.9183010271568
17,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,294693.0,337322.64,29380.761942525136,2.4382156,1.0,140.61678397047535,175.4238777209857
18,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,270725.0,331082.24,34739.29457674695,2.5057126,1.0,121.04691608014761,170.32859219099564
19,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,295031.0,341164.08,32929.614246298115,2.47900708,1.0,140.8927609125202,178.5604128223133
20,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,292205.0,338503.88,30503.088745677323,2.47664052,1.0,138.5853323970802,176.38835997844438
21,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,266309.0,363305.12,46323.64624422391,2.23858288,1.0,117.4412528373369,196.63856818590068
22,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,288201.0,333024.48,37721.4039197465,2.44042032,1.0,135.3160670836259,171.9144308179695
23,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,279527.0,339172.04,38522.817795085204,2.68722544,1.0,128.233747570913,176.93391250387836
24,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,289260.0,339469.92,33645.05270085534,2.61592732,1.0,136.1807404020445,177.1771314728024
25,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,297093.0,346553.72,30609.171470764555,2.30194052,1.0,142.57638355895946,182.96105295817887
