parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,2861,0.038,0.13,169,0.0001,15298.0,17366.0,2221.620954768537,36.7885794,1.0,330.6869369369369,388.90765765765764
2,2685,0.038,0.13,169,0.0001,14796.0,17126.56,2443.9831914315614,42.65890412,1.0,316.55405405405406,382.16666666666674
3,102,0.038,0.13,169,0.0001,31436.0,33260.24,1148.487602603238,0.69173252,1.0,785.0225225225225,836.3806306306305
4,1314,0.038,0.13,169,0.0001,16692.0,18676.0,773.9173082442336,19.20480812,1.0,369.9324324324324,425.7882882882883
5,2895,0.038,0.13,169,0.0001,14296.0,16928.0,2157.070544357169,49.34557604,1.0,302.47747747747746,376.5765765765766
6,211,0.038,0.13,169,0.0001,26128.0,28741.44,1561.346696498464,1.07056828,1.0,635.5855855855856,709.1621621621622
7,1898,0.038,0.13,169,0.0001,15616.0,18298.72,2029.4250318747918,29.1769486,1.0,339.63963963963965,415.16666666666674
8,961,0.038,0.13,169,0.0001,18064.0,20660.4,1118.545782105796,12.4459518,1.0,408.55855855855856,481.6554054054055
9,621,0.038,0.13,169,0.0001,19904.0,22230.96,1333.21317625252,7.74632716,1.0,460.36036036036035,525.8716216216217
10,741,0.038,0.13,169,0.0001,20330.0,21862.48,914.4426863760608,8.81960856,1.0,472.3536036036036,515.4977477477478
11,2991,0.038,0.13,169,0.0001,14588.0,17115.28,2464.7413576276113,52.8815054,1.0,310.6981981981982,381.8490990990991
12,353,0.038,0.13,169,0.0001,22188.0,25380.64,1234.0457473962085,2.84600396,1.0,524.6621621621622,614.5450450450451
13,367,0.038,0.13,169,0.0001,22892.0,25336.16,1301.8613495043676,3.48473856,1.0,544.481981981982,613.2927927927927
14,2513,0.038,0.13,169,0.0001,14860.0,17092.16,1622.5044345085778,41.49779692,1.0,318.35585585585585,381.19819819819816
15,1653,0.038,0.13,169,0.0001,16068.0,18062.56,1101.4966363997667,24.434016,1.0,352.36486486486484,408.51801801801804
16,1031,0.038,0.13,169,0.0001,18288.0,20260.48,1066.0241210529275,13.48831932,1.0,414.86486486486484,470.39639639639637
17,512,0.038,0.13,169,0.0001,21464.0,23467.36,1335.343616202711,5.39744988,1.0,504.27927927927925,560.6801801801802
18,1920,0.038,0.13,169,0.0001,16144.0,17766.88,1098.3452826866421,31.18136388,1.0,354.5045045045045,400.1936936936938
19,2574,0.038,0.13,169,0.0001,14660.0,16665.84,1786.9629654808182,48.17188168,1.0,312.72522522522524,369.19594594594594
20,2595,0.038,0.13,169,0.0001,14712.0,17112.24,1796.4297295840252,38.07231696,1.0,314.1891891891892,381.76351351351354
