parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1500,0.043,0.16,60,0.0005,295495.0,347719.28,31217.39013290509,4.17097388,1.0,141.27161683296046,183.9127324983262
2,2222,0.043,0.16,60,0.0005,258849.0,324229.6,35688.48693089505,8.84513212,1.0,111.35016411646555,164.73341280598328
3,2158,0.043,0.16,60,0.0005,279971.0,341714.56,44555.44453363696,8.08039204,1.0,128.59627349478257,179.0098796479253
4,1949,0.043,0.16,60,0.0005,264599.0,333760.8,37864.4127887035,8.24199068,1.0,116.04503813054198,172.51563597171645
5,2501,0.043,0.16,60,0.0005,270495.0,319829.32,36266.22626576964,12.523544,1.0,120.85912111958457,161.14058494047717
6,768,0.043,0.16,60,0.0005,342765.0,413669.52,34825.236006761916,2.87387632,1.0,179.8675637278116,237.76109215017067
7,2506,0.043,0.16,60,0.0005,275152.0,327671.0,39260.91096858723,10.89442572,1.0,124.66156082107223,167.54331531590378
8,2746,0.043,0.16,60,0.0005,260224.0,322150.08,46444.39175322104,12.77520132,1.0,112.4728513807012,163.03548508254815
9,112,0.043,0.16,60,0.0005,592648.0,677253.36,60921.797408563056,0.32403292,1.0,383.896990381632,452.977252314777
10,264,0.043,0.16,60,0.0005,486633.0,553768.44,47481.567405222275,0.78997596,1.0,297.33576105949015,352.15183630811435
11,2606,0.043,0.16,60,0.0005,273231.0,336319.96,45392.542048483396,11.82076596,1.0,123.09306465045641,174.6051896729102
12,1422,0.043,0.16,60,0.0005,295890.0,360326.08,33690.529189620436,5.57907056,1.0,141.5941342652318,194.20618253670168
13,1491,0.043,0.16,60,0.0005,310392.0,358458.84,34539.28236284014,5.5985094,1.0,153.4350147786469,192.68158139686793
14,2685,0.043,0.16,60,0.0005,249410.0,322296.64,48380.83214790061,12.67919396,1.0,103.64322223492333,163.15515129741826
15,1424,0.043,0.16,60,0.0005,316035.0,366878.0,30408.46024409435,6.73613988,1.0,158.0425233110701,199.55582409327695
16,2569,0.043,0.16,60,0.0005,255871.0,329951.08,52729.44580507176,12.63994256,1.0,108.9186276270882,169.40500024494995
17,2287,0.043,0.16,60,0.0005,271468.0,308650.44,24971.832640463803,10.22756172,1.0,121.65357545274915,152.0130313372634
18,109,0.043,0.16,60,0.0005,559085.0,660974.4,52577.20602044831,0.32866928,1.0,356.4928066365106,439.6854842660483
19,1450,0.043,0.16,60,0.0005,284684.0,354278.92,30364.484330546435,6.24979576,1.0,132.44443718666818,189.26867743357775
20,830,0.043,0.16,60,0.0005,342928.0,412634.76,28584.41033483112,3.45675864,1.0,180.00065319986282,236.91621078759573
