parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1000,0.022,0.204,76,0.000101,20296.0,23056.16,1205.681953640069,12.26904648,1.0,471.3963963963964,549.1036036036036
2,879,0.07282713228796928,0.22626758327070784,83,1e-05,17180.0,21445.76,2620.551171032537,17.63061536,1.0,383.6711711711712,503.76576576576576
3,1183,0.033614295375737326,0.22157489247383325,71,3.611207774286015e-05,17384.0,19818.32,1332.9114349173142,23.56291536,1.0,389.4144144144144,457.9481981981982
4,1007,0.0370062731761954,0.01033493759921729,66,1.950308552135917e-05,24536.0,28300.48,2221.0668817785145,7.18532188,1.0,590.7657657657658,696.7477477477478
5,1485,0.03707762636267637,0.23050387466564548,62,0.0007538482680794377,16792.0,19693.52,1836.2623523523719,26.82313512,1.0,372.7477477477477,454.43468468468467
6,324,0.01709984399414013,0.19373569578260658,41,0.0006593401273086383,27796.0,30385.04,1406.2305548285221,2.95368608,1.0,682.5450450450451,755.4346846846846
7,1095,0.08222578611092368,0.20155148410807863,74,0.0008230895471223378,19912.0,23705.2,1723.464243899478,12.20363664,1.0,460.58558558558553,567.3761261261261
8,1490,0.03073285348240349,0.24943465291649716,62,0.0007570358640194578,16732.0,19687.6,1724.004350342539,23.44234084,1.0,371.05855855855856,454.268018018018
9,1299,0.06990795987895364,0.20755439879453624,55,0.0007832708794601007,17520.0,22345.6,2696.3457369805774,17.158702,1.0,393.2432432432432,529.099099099099
10,1346,0.012340586833686247,0.18112368474394683,85,0.0008585213090953275,20714.0,23145.2,1123.3650341718849,13.76522928,1.0,483.16441441441447,551.6103603603603
11,1390,0.02146739268180764,0.28641502382199335,83,0.000763231060739553,19856.0,21314.64,968.0070109938943,20.82073972,1.0,459.009009009009,500.0743243243243
12,573,0.030427717876576936,0.261450665184966,54,0.001,21964.0,24312.24,1138.0803017947958,6.9412486,1.0,518.3558558558558,584.4662162162163
13,633,0.013815809150428524,0.22290314147432522,75,0.0005878876065440144,24328.0,27768.88,1537.3194289628511,5.57502404,1.0,584.90990990991,681.7815315315315
14,463,0.03127150224203062,0.20550328196671105,24,0.0003029070043142109,23848.0,25315.92,1036.034825669485,3.98017488,1.0,571.3963963963964,612.7229729729729
15,2000,0.03408084524548242,0.05335870542498485,82,0.0009185122057049239,17232.0,19792.72,1439.4099346607275,21.04478812,1.0,385.13513513513516,457.2274774774775
16,2000,0.09240484531689278,0.28303121830250927,32,0.0007903185112036694,24252.0,26218.48,785.5529432614117,23.5979376,1.0,582.7702702702703,638.1328828828829
17,1348,0.028017560183104907,0.06185199888882194,52,0.0009479246478138822,18668.0,21362.24,1499.3131005008038,12.84431472,1.0,425.56306306306305,501.41441441441447
18,1135,0.046248946319866015,0.0880450319984274,58,0.000799777718589624,18090.0,19567.44,1093.343880030432,13.79401404,1.0,409.2905405405405,450.88513513513504
19,551,0.08515784363966104,0.0534692929430914,48,0.0009277284712377794,21576.0,23342.32,1458.2155396236867,5.03507144,1.0,507.43243243243245,557.1599099099099
20,1905,0.03527031253103837,0.15759402677467524,58,0.0008016694604881418,15452.0,18346.8,1651.7229388328622,28.39952524,1.0,335.02252252252254,416.5202702702702
