parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1599,0.05,0.12,100,0.00075,986.0,1146.64,71.98661912698313,2.21612556,1.0,13.073394495412844,31.495412844036707
2,1192,0.061325309082819246,0.11095554674780939,119,0.0009757629289829192,1027.0,1192.64,91.13400389902041,2.31387716,1.0,17.775229357798164,36.770642201834875
3,1890,0.050018442286235955,0.18633532098002095,147,0.0002955212281426404,934.0,1030.32,67.78133961497073,4.62124704,1.0,7.110091743119266,18.155963302752287
4,1433,0.07355201118307138,0.15857704838100234,139,0.00037674395866709994,901.0,1069.28,84.09841457086651,3.30849544,1.0,3.325688073394496,22.62385321100917
5,2084,0.05546844409651827,0.26381603321154623,150,0.0001406838295096701,925.0,1026.28,93.85872362226114,5.8261702,1.0,6.077981651376147,17.692660550458715
6,2455,0.07950259615967363,0.23505142453527925,109,0.0001,833.0,1110.16,138.23129168173173,5.6821268,1.0,-4.472477064220183,27.311926605504595
7,2835,0.062263249487897354,0.11534315473801432,36,0.0001,898.0,1017.68,92.9052922783914,6.24348984,1.0,2.981651376146789,16.70642201834862
8,2270,0.08445620616446393,0.12098900096284078,43,0.00023350051005383384,923.0,1140.48,133.6609890731024,4.70123492,1.0,5.848623853211009,30.788990825688074
9,3000,0.09385850049500127,0.22133380451716572,189,0.0001,795.0,1162.4,157.45396152526618,6.87555208,1.0,-8.830275229357799,33.30275229357799
10,1226,0.0899519551511636,0.13506943756556322,34,0.0001,1034.0,1160.84,67.57691913664014,2.35141456,1.0,18.577981651376145,33.12385321100916
11,2421,0.06465419629512871,0.15544416753651724,62,0.00017360998182124217,928.0,1063.48,87.30221455763116,5.94298356,1.0,6.422018348623854,21.95871559633028
12,3000,0.0662365163027178,0.1412067362696196,38,0.00014151009330902825,881.0,1017.28,80.63886573276355,8.84951128,1.0,1.0321100917431194,16.66055045871559
13,2993,0.09821118117843924,0.18179705114463163,148,0.00012063564226501828,748.0,1189.84,155.51974151213088,8.18900448,1.0,-14.220183486238533,36.44954128440366
14,1382,0.06345936289531799,0.1,70,0.0002376786249112007,987.0,1171.32,89.51336957870222,3.28852708,1.0,13.188073394495412,34.32568807339449
15,3000,0.08832501847009487,0.2767716591293396,125,0.0001,841.0,1173.8,144.80072513630586,7.4768398,1.0,-3.555045871559633,34.610091743119256
16,3000,0.1,0.13837940523114467,61,0.00023182020515285237,861.0,1206.68,115.27999248207239,6.99216628,1.0,-1.261467889908257,38.38073394495414
17,2334,0.054277101467553206,0.11492049515673451,25,0.0001,1036.0,1176.24,59.82702845147278,4.86633332,1.0,18.807339449541285,34.88990825688074
18,1331,0.04191422712404072,0.15012409631109158,63,0.0002626263507011944,1025.0,1185.72,98.9008425983655,3.02707028,1.0,17.545871559633028,35.97706422018349
19,2938,0.07725884899602145,0.1,62,0.0001,825.0,1070.64,141.79588616505535,7.07199984,1.0,-5.389908256880735,22.77981651376148
20,3000,0.035198081487144824,0.14593340021036513,77,0.00013803440664251302,853.0,996.56,73.72871444242965,6.6681352,1.0,-2.1788990825688073,14.284403669724766
