parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1000,0.022,0.204,76,0.000101,387221.0,432465.88,26458.86010917074,2.9474954,1.0,216.16588010516517,253.10831686725348
2,1161,0.010789777645494802,0.19293432416585152,42,1e-05,443745.0,502842.72,39050.64454069015,4.02935568,1.0,262.3177164132795,310.5709946600911
3,1098,0.018570574520245055,0.1864526608093174,90,1e-05,367406.0,447133.28,38217.52180667048,3.6574422,1.0,199.98693600274345,265.08424645230826
4,1618,0.03844162612095008,0.2561724126816283,78,0.0004937820226871935,291493.0,352800.4,30069.096666400426,9.264476720000001,1.0,138.00398451916325,188.06146610709214
5,1000,0.028764288542915815,0.2466057734412885,49,0.0004738089135930749,361008.0,414702.96,30691.703297308217,4.50853584,1.0,194.76297009977628,238.60489573297193
6,876,0.02629194975948483,0.3,57,0.0006200816076806011,377917.0,454341.32,41202.34288617578,3.68655216,1.0,208.56916570047522,270.9696098763819
7,1076,0.01,0.3,42,0.0005043415470012948,447499.0,554395.2,45843.93650382422,4.00869676,1.0,265.3828567696001,352.66358574064697
8,1560,0.030195697156441548,0.20082460391967935,72,0.0006642303871221921,316582.0,369439.92,29921.256754075912,7.67567948,1.0,158.48914871727877,201.6476313339974
9,1592,0.05589956396473911,0.17678608329629839,68,0.000598365129836592,286672.0,342035.64,43194.26527318181,10.1880726,1.0,134.06763884579584,179.27204141287132
10,2000,0.05535916653280624,0.22682674641579878,72,0.0006749567444641947,286168.0,375819.2,60425.97106515266,9.84394524,1.0,133.65612293221417,206.8563123601744
11,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,283593.0,341161.36,31998.968315244165,8.85242508,1.0,131.55363587373648,178.5581919427797
12,1786,0.025752741494016865,0.19424099293665184,58,0.0009339322018069479,288225.0,356395.72,26908.074887042116,7.73306088,1.0,135.33566307951074,190.99704427062068
13,964,0.06500297705434059,0.09558214047368818,32,0.0004304630409925669,383429.0,422953.32,27851.696167259426,3.07240772,1.0,213.06971275536034,245.3413132583242
14,1587,0.017388889301337578,0.1114090794596808,46,0.00037866050256353583,367346.0,423046.72,29559.217429481,5.89446756,1.0,199.93794601303134,245.41757434230936
15,2000,0.05429343229167973,0.0955891280132417,69,0.0004524563386701463,282797.0,344617.4,39601.683269149056,11.05349592,1.0,130.90370201022256,181.38004801018994
16,1393,0.03503332698809796,0.14457971117084956,52,0.0003110320440825528,326420.0,376551.12,22715.502994137434,6.87494832,1.0,166.52187403040645,207.45392491467575
17,1831,0.05740723333657327,0.1609900260667648,53,0.0003992875808571579,262001.0,355555.4,59841.05328423512,10.14224888,1.0,113.92377157600797,190.31092313470617
18,1703,0.05175065455464936,0.1346586456927492,64,0.00037877955361847174,278862.0,348644.4,38216.56753403337,10.8131008,1.0,127.69077518493721,184.66809281970055
19,1388,0.055202619953785725,0.151288742364417,89,0.0005690533356254592,277409.0,366620.4,43271.63182829293,6.65962028,1.0,126.5044009340758,199.34549373744633
20,1579,0.05527367955713862,0.17761586522668854,62,0.0004636585382027158,286599.0,358136.92,47374.927432591736,9.55592932,1.0,134.00803435831278,192.41873377206588
